unitid,paraid,desc,unit,TYPE,formula,ll,ul,outtag,alternatepara,remark
XZFB01,Pel,有功功率,MW,RT,XZFB:1:00CE30001,0.0,600.0,,,XZFB01
XZFB01,RUN,运行标志,,PW,Pel;-5;0;-1;1;200,,,,,XZFB01
XZFB01,IN_YC,烟囱入口烟气烟尘浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS001,0.0,10000.0,,,XZFB01
XZFB01,IN_SO2,烟囱入口烟气SO2浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS002,0.0,10000.0,,,XZFB01
XZFB01,IN_NOX,烟囱入口烟气NOx浓度(折算),mg/Nm3,RT,XZFB:1:23CEMS003,0.0,10000.0,,,XZFB01
XZFB01,IN_O2,烟囱入口烟气O2浓度,%,RT,XZFB:01CEMS1003,0.0,10000.0,,,XZFB01
XZFB01,IN_F,烟囱入口烟气流量,kNm3/h,RT,XZFB:1:23HB_TL_AS001,0.0,100000000.0,,,XZFB01
XZFB01,IN_SO2_NVNC,烟囱入口烟气SO2浓度不变化次数,,NVNC,IN_SO2,,,XZFB:01CEMS002_NVNC,,XZFB01
XZFB01,IN_O2_NVNC,烟囱入口烟气O2浓度不变化次数,,NVNC,IN_O2,,,XZFB:01CEMS004_NVNC,,XZFB01
XZFB01,IN_NOX_NVNC,烟囱入口烟气NOx浓度不变化次数,,NVNC,IN_NOX,,,XZFB:01CEMS003_NVNC,,XZFB01
XZFB01,IN_YC_NVNC,烟囱入口烟气烟尘浓度不变化次数,,NVNC,IN_YC,,,XZFB:01CEMS001_NVNC,,XZFB01
XZFB01,IN_F_NVNC,烟囱入口烟气流量不变化次数,,NVNC,IN_F,,,XZFB:01FD00008_NVNC,,XZFB01
XZFB01,IN_SO2_STATE,烟囱入口烟气SO2浓度状态,,PW,IN_SO2_NVNC;0;0;10;1;9999999999,,,,,XZFB01
XZFB01,IN_O2_STATE,烟囱入口烟气O2浓度状态,,PW,IN_O2_NVNC;0;0;10;1;9999999999,,,,,XZFB01
XZFB01,IN_NOX_STATE,烟囱入口烟气NOx浓度状态,,PW,IN_NOX_NVNC;0;0;10;1;9999999999,,,,,XZFB01
XZFB01,IN_YC_STATE,烟囱入口烟气烟尘浓度状态,,PW,IN_YC_NVNC;0;0;10;1;9999999999,,,,,XZFB01
XZFB01,IN_F_STATE,烟囱入口烟气流量状态,,PW,IN_F_NVNC;0;0;10;1;9999999999,,,,,XZFB01
XZFB01,IN_NVNC_SUM,环保监测数据组状态和,,EXPR,IN_SO2_STATE+IN_NOX_STATE+IN_O2_STATE+IN_YC_STATE+IN_F_STATE,,,XZFB:01HB_RTDATA_STATE;0,,XZFB01
XZFB01,k_zs,折算系数,,EXPR,6/(21-IN_O2),,,,,XZFB01
XZFB01,IN_YC_SC,烟囱入口烟气烟尘浓度(实测),,EXPR,IN_YC/k_zs,,,XZFB:01CEMS001_SC,,XZFB01
XZFB01,IN_SO2_SC,烟囱入口烟气SO2浓度(实测),,EXPR,IN_SO2/k_zs,,,XZFB:01CEMS002_SC,,XZFB01
XZFB01,IN_NOX_SC,烟囱入口烟气NOx浓度(实测),,EXPR,IN_NOX/k_zs,,,XZFB:01CEMS003_SC,,XZFB01
