id_key,t_watchid,t_watchdesc,t_type,t_formula,t_formulapara,i_count,t_orgid,t_calctype,i_level,t_formulacount,up,down
7129,XZFB03.SO2_cx1,上海闵行#3炉so2浓度限小时均值统计,STAT,XZFB03.SO2_tag1>XZFB03.SO2_DL1 and  XZFB03.SSFH1>1,"XZFB03.SO2_tag1,XZFB03.SO2_DL1,XZFB03.SSFH1",0,XZFB03,1,2,,,
7130,XZFB03.SO2_cx2,上海闵行#3炉so2浓度限小时均值统计,STAT,XZFB03.SO2_tag1>(2*XZFB03.SO2_DL1) and   XZFB03.SSFH1>1,"XZFB03.SO2_tag1,XZFB03.SO2_DL1,XZFB03.SSFH1",0,XZFB03,1,2,,,
7131,XZFB03.SO2_DL1,上海闵行#3炉so2浓度上限,MANUAL,50,,0,XZFB03,1,1,,,
7132,XZFB03.SO2_tag1,上海闵行#3炉so2浓度测点,RT-AVG,XZFB:03CEMS002-XZFB:03CEMS004,XZFB:03CEMS002,0,XZFB03,1,1,,1000000000,-100
7133,XZFB03.YC_cx1,上海闵行#3炉烟尘浓度限小时均值统计,STAT,XZFB03.YC_tag1>XZFB03.YC_DL1 and   XZFB03.SSFH1>1,"XZFB03.YC_tag1,XZFB03.YC_DL1,XZFB03.SSFH1",0,XZFB03,1,2,,,
7134,XZFB03.YC_cx2,上海闵行#3炉烟尘浓度限小时均值统计,STAT,XZFB03.YC_tag1>(2*XZFB03.YC_DL1) and   XZFB03.SSFH1>1,"XZFB03.YC_tag1,XZFB03.YC_DL1,XZFB03.SSFH1",0,XZFB03,1,2,,,
7135,XZFB03.YC_DL1,上海闵行#3炉烟尘浓度上限,MANUAL,20,,0,XZFB03,1,1,,,
7136,XZFB03.YC_tag1,上海闵行#3炉烟尘浓度测点,RT-AVG,XZFB:03CEMS001-XZFB:03CEMS004,XZFB:03CEMS001,0,XZFB03,1,1,,1000000000,-100
7137,XZFB03.SSFH1,上海闵行#3炉负荷,RT-AVG,XZFB:03CE30001,XZFB:03CE30001,0,XZFB03,1,1,,1000000000,-100
